name,rank,points,Best result 1,Best result 2,Best result 3,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-04-22_Enschede_points_current,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-05-27_Groningen_points_current,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-06-17_Amsterdam_points_current,2023-09-02_NK_rank,2023-09-02_NK_points,2023-09-02_NK_points_current,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2023-11-26_Enschede_points_current,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-01-20_Amsterdam_points_current,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-02-11_Groningen_points_current,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-04-06_Enschede_points_current,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-05-04_Groningen_points_current,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-01_Amsterdam_points_current,2024-06-29_NK_rank,2024-06-29_NK_points,2024-06-29_NK_points_current
Konstantin Dimov,154,321,261,60,,33,100,60,,,,23,435,261,,,,,,,,,,,,,,,,,,,,,,,,
David Moulin,155,319,319,,,,,,12,531,319,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rianne Voerman,156,309,309,,,,,,,,,,,,,,,,,,22,309,309,,,,,,,,,,,,,,,
Pieter-Jan Zwaan,156,309,309,,,,,,,,,,,,,,,,,,17,309,309,,,,,,,,,,,,,,,
Lieze Dockx,156,309,309,,,,,,,,,,,,,,,,,,17,309,309,,,,,,,,,,,,,,,
steven biemans,156,309,309,,,,,,,,,,,,,,,,,,23,309,309,,,,,,,,,,,,,,,
Singrid Feitosa Alexandrino,156,309,309,,,,,,,,,,,,,,,,,,19,309,309,,,,,,,,,,,,,,,
Antoine Sapena,156,309,309,,,,,,,,,,,,,,,,,,21,309,309,,,,,,,,,,,,,,,
Carel Van Goch,156,309,309,,,,,,,,,,,,,,,,,,23,309,309,,,,,,,,,,,,,,,
Remy Rousselle,156,309,309,,,,,,,,,,,,,,,,,,21,309,309,,,,,,,,,,,,,,,
Gijs van Gerwen,156,309,309,,,,,,,,,,,,,,,,,,18,309,309,,,,,,,,,,,,,,,
Milan Battistella,165,307,217,90,,20,150,90,,,,30,362,217,,,,,,,,,,,,,,,,,,,,,,,,
Lennart Wiepking,166,300,300,,,5,500,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolja Jannes,166,300,300,,,5,500,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
